;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico;http://aims.fao.org/aos/agrovoc/c_1016;E;E;acids;;borates| sassolite;boric acid;;Boric acid;;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico;http://aims.fao.org/aos/agrovoc/c_1631;E;E;chemical analysis| acids;;;citric acid;;Citric acid;;Organic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.013.094.209.025.000;11.825.504.803.382.200;18.042.562.327.792.400;5.348.035.385.405.910;0.0;1.0;1.125;2.357.853.806.604.420;0.34781355897897226;0.9816404281461526;19.632.808.562.923.000;0.9090909090909092;1.0;2.0
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://aims.fao.org/aos/agrovoc/c_3720;E;E;inorganic acids| acids;;chlorides;hydrocloric acid;;Hydrochloric acid;;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.736.605.200.139.750;0.4898678392904216;16.998.426.663.271.700;5.099.527.998.981.530;0.6363636363636364;1.0;3.0;0.5220393512507272;0.22776650697982914;17.676.036.791.064.800;34.693.644.214.464.900;0.2941176470588235;1.0;1.5
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://aims.fao.org/aos/agrovoc/c_7517;E;E;inorganic acids| acids;;marcasite| acid mine drainage| pollution;sulfuric acid;;Sulphuric acid;Sulfuric acid;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.736.605.200.139.750;0.4898678392904216;16.998.426.663.271.700;5.099.527.998.981.530;0.6363636363636364;1.0;3.0;0.4423763594179103;0.7237038534245868;2.080.803.219.479.640;4.094.567.965.295.560;0.1428571428571429;1.0;13.333.333.333.333.300
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico;http://aims.fao.org/aos/agrovoc/c_671;E;E;organic materials| organic acids| amino acids| acids;;;aspartic acid;;Aspartic acid;Asparaginic acid;Amino acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.222.475.504.019.900;0.7820163075843846;21.848.454.459.565.800;14.459.381.471.399.600;0.0;1.0;4.0;2,22E-01;0.3493553715666759;19.235.299.716.991.500;38.470.599.433.983.000;0.9230769230769232;1.0;2.0
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina;http://aims.fao.org/aos/agrovoc/c_239;E;E;organic materials| organic acids| amino acids| acids;;geochemistry;alanine;;Alanine;;Amino acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.222.475.504.019.900;0.7820163075843846;21.848.454.459.565.800;14.459.381.471.399.600;0.0;1.0;4.0;0.0;0.5346257753849972;0.0;0.0;0.8571428571428572;1.0;1.0
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://aims.fao.org/aos/agrovoc/c_1432;E;E;Africa;Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea;West Africa| East Africa| Southern Africa| North Africa;Central Africa;;Central Africa;;Africa South of Sahara;Sao Tome and Principe| Cameroon| Rwanda| Democratic Republic of the Congo| Chad| Burundi| Equatorial Guinea| Congo| Gabon| Central African Republic;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.314.259.652.429.800;25.131.573.557.600.100;25.131.573.557.600.100;0.2727272727272727;1.0;1.0;20.477.192.457.642.700;0.0;183.810.687.299.662;367.621.374.599.324;1.0;1.0;2.0
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://aims.fao.org/aos/agrovoc/c_7265;E;E;Africa;Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho;Damara Orogeny| West Africa| Central Africa| East Africa| North Africa;Southern Africa;;Southern Africa;;Africa South of Sahara;Zambia| Malawi| Zimbabwe| Swaziland| Angola| South Africa| Mozambique| Botswana| Saint Helena, Ascension and Tristan da Cunha| Lesotho| Namibia;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.314.259.652.429.800;25.131.573.557.600.100;25.131.573.557.600.100;0.2727272727272727;1.0;1.0;20.890.157.234.176.400;0.0;23.299.654.956.410.800;4.659.930.991.282.160;1.0;1.0;2.0
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://aims.fao.org/aos/agrovoc/c_8355;E;E;Africa;Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal;Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa;West Africa;;West Africa;;Africa South of Sahara;Sierra Leone| Ghana| Benin| Western Sahara| Mali| Cote d'Ivoire| Cabo Verde| Niger| Gambia| Mauritania| Liberia| Nigeria| Burkina Faso| Guinea| Togo| Guinea-Bissau| Senegal;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.314.259.652.429.800;25.131.573.557.600.100;25.131.573.557.600.100;0.2727272727272727;1.0;1.0;21.234.647.454.464.600;0.0;28.939.633.107.571.600;5.787.926.621.514.320;1.0;1.0;2.0
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://aims.fao.org/aos/agrovoc/c_2442;E;E;Africa;Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia;Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel;East Africa;;East Africa;;Africa South of Sahara;Mauritius| South Sudan| Sudan| Seychelles| Ethiopia| Eritrea| Comoros| Djibouti| Kenya| Mayotte| Somalia| Madagascar| United Republic of Tanzania| Uganda| Réunion;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.314.259.652.429.800;25.131.573.557.600.100;25.131.573.557.600.100;0.2727272727272727;1.0;1.0;2.130.654.039.013.870;0.0;29.824.306.566.989.600;5.964.861.313.397.930;1.0;1.0;2.0
